t,x(t),v(t),F(t) (added)
0.02,-1.56,0,0
0.04,-1.56,0,0
0.06,-1.56,0,0
0.08,-1.56,0,0
0.09999999,-1.56,0,0
0.12,-1.56,0,0
0.14,-1.56,0,0
0.16,-1.56,0,0
0.18,-1.56,0,0
0.2,-1.56,0,0
0.22,-1.56,0,0
0.24,-1.56,0,0
0.26,-1.56,0,0
0.28,-1.56,0,0
0.3,-1.56,0,0
0.32,-1.56,0,0
0.34,-1.56,0,0
0.36,-1.56,0,0
0.38,-1.56,0,0
0.4,-1.56,0,0
0.42,-1.56,0,0
0.4400001,-1.56,0,0
0.4600001,-1.56,0,0
0.4800001,-1.56,0,0
0.5000001,-1.56,0,0
0.52,-1.56,0,0
0.54,-1.56,0,0
0.56,-1.56,0,0
0.58,-1.56,0,0
0.6,-1.56,0,0
0.6199999,-1.56,0,0
0.6399999,-1.56,0,0
0.6599999,-1.56,0,0
0.6799999,-1.56,0,0
0.6999999,-1.56,0,0
0.7199998,-1.56,0,0
0.7399998,-1.56,0,0
0.7599998,-1.56,0,0
0.7799998,-1.56,0,0
0.7999998,-1.56,0,0
0.8199998,-1.56,0,0
0.8399997,-1.56,0,0
0.8599997,-1.56,0,0
0.8799997,-1.56,0,0
0.8999997,-1.56,0,0
0.9199997,-1.56,0,0
0.9399996,-1.56,0,0
0.9599996,-1.56,0,0
0.9799996,-1.56,0,0
0.9999996,-1.56,0,0
1.02,-1.56,0,0
1.04,-1.56,0,0
1.06,-1.56,0,0
1.08,-1.56,0,0
1.1,-1.56,0,0
1.12,-1.56,0,0
1.14,-1.56,0,0
1.159999,-1.56,0,0
1.179999,-1.56,0,0
1.199999,-1.56,0,0
1.219999,-1.56,0,0
1.239999,-1.56,0,0
1.259999,-1.56,0,0
1.279999,-1.56,0,0
1.299999,-1.56,0,0
1.319999,-1.56,0,0
1.339999,-1.56,0,0
1.359999,-1.56,0,0
1.379999,-1.56,0,0
1.399999,-1.56,0,0
1.419999,-1.56,0,0
1.439999,-1.56,0,0
1.459999,-1.56,0,0
1.479999,-1.56,0,0
1.499999,-1.56,0,0
1.519999,-1.56,0,0
1.539999,-1.56,0,0
1.559999,-1.56,0,0
1.579999,-1.56,0,0
1.599999,-1.56,0,0
1.619999,-1.56,0,0
1.639999,-1.56,0,0
1.659999,-1.56,0,0
1.679999,-1.56,0,0
1.699999,-1.56,0,0
1.719999,-1.56,0,0
1.739999,-1.56,0,0
1.759999,-1.56,0,0
1.779999,-1.56,0,0
1.799999,-1.56,0,0
1.819999,-1.56,0,0
1.839999,-1.56,0,0
1.859999,-1.56,0,0
1.879999,-1.56,0,0
1.899999,-1.56,0,0
1.919999,-1.56,0,0
1.939999,-1.56,0,0
1.959999,-1.56,0,0
1.979999,-1.56,0,0
1.999999,-1.56,0,0
2.019999,-1.56,0,0
2.039999,-1.56,0,0
2.059999,-1.56,0,0
2.079999,-1.56,0,0
2.099999,-1.56,0,0
2.119999,-1.56,0,0
2.139999,-1.56,0,0
2.159999,-1.56,0,0
2.179999,-1.56,0,0
2.199999,-1.56,0,0
2.219999,-1.56,0,0
2.239999,-1.56,0,0
2.259999,-1.56,0,0
2.279999,-1.56,0,0
2.299999,-1.56,0,0
2.319999,-1.56,0,0
2.339998,-1.56,0,0
2.359998,-1.56,0,0
2.379998,-1.56,0,0
2.399998,-1.56,0,0
2.419998,-1.56,0,0
2.439998,-1.56,0,0
2.459998,-1.56,0,0
2.479998,-1.56,0,0
2.499998,-1.56,0,0
2.519998,-1.56,0,0
2.539998,-1.56,0,0
2.559998,-1.56,0,0
2.579998,-1.56,0,0
2.599998,-1.56,0,0
2.619998,-1.56,0,0
2.639998,-1.56,0,0
2.659998,-1.56,0,0
2.679998,-1.56,0,0
2.699998,-1.56,0,0
2.719998,-1.56,0,0
2.739998,-1.56,0,0
2.759998,-1.56,0,0
2.779998,-1.56,0,0
2.799998,-1.56,0,0
2.819998,-1.56,0,0
2.839998,-1.56,0,0
2.859998,-1.56,0,0
2.879998,-1.56,0,0
2.899998,-1.56,0,0
2.919998,-1.56,0,0
2.939998,-1.56,0,0
2.959998,-1.56,0,0
2.979998,-1.56,0,0
2.999998,-1.56,0,0
3.019998,-1.56,0,0
3.039998,-1.56,0,0
3.059998,-1.56,0,0
3.079998,-1.56,0,0
3.099998,-1.56,0,0
3.119998,-1.56,0,0
3.139998,-1.56,0,0
3.159998,-1.56,0,0
3.179998,-1.56,0,0
3.199998,-1.56,0,0
3.219998,-1.56,0,0
3.239998,-1.56,0,0
3.259998,-1.56,0,0
