t,x_cubeOne(t),x_cubeTwo(t),v_cubeOne(t),v_cubeTwo(t),p_cubeOne(t),p_cubeTwo(t)
0.001,1.79,-4.35,0,0,0,0
0.002,1.79,-4.35,0.0005,0,0.001,0
0.003,1.790001,-4.35,0.001,0,0.002,0
0.004,1.790003,-4.35,0.0015,0,0.003,0
0.005,1.790005,-4.35,0.002,0,0.004,0
0.006000001,1.790007,-4.35,0.0025,0,0.005,0
0.007000001,1.79001,-4.35,0.003,0,0.006000001,0
0.008,1.790014,-4.35,0.0035,0,0.007000001,0
0.009000001,1.790018,-4.35,0.004,0,0.008,0
0.01,1.790022,-4.35,0.0045,0,0.009000001,0
0.011,1.790027,-4.35,0.005,0,0.01,0
0.012,1.790033,-4.35,0.0055,0,0.011,0
0.013,1.790039,-4.35,0.006000001,0,0.012,0
0.014,1.790045,-4.35,0.006500001,0,0.013,0
0.015,1.790053,-4.35,0.007000001,0,0.014,0
0.016,1.79006,-4.35,0.007500001,0,0.015,0
0.017,1.790068,-4.35,0.008,0,0.016,0
0.018,1.790076,-4.35,0.0085,0,0.017,0
0.019,1.790085,-4.35,0.009000001,0,0.018,0
0.02,1.790095,-4.35,0.009500001,0,0.019,0
0.021,1.790105,-4.35,0.01,0,0.02,0
0.022,1.790115,-4.35,0.0105,0,0.021,0
0.023,1.790126,-4.35,0.011,0,0.022,0
0.024,1.790138,-4.35,0.0115,0,0.023,0
0.025,1.79015,-4.35,0.012,0,0.024,0
0.026,1.790162,-4.35,0.0125,0,0.025,0
0.027,1.790175,-4.35,0.013,0,0.026,0
0.028,1.790189,-4.35,0.0135,0,0.027,0
0.029,1.790203,-4.35,0.014,0,0.028,0
0.03,1.790217,-4.35,0.0145,0,0.029,0
0.031,1.790232,-4.35,0.015,0,0.03,0
0.032,1.790248,-4.35,0.0155,0,0.031,0
0.033,1.790264,-4.35,0.016,0,0.032,0
0.034,1.79028,-4.35,0.0165,0,0.033,0
0.035,1.790297,-4.35,0.017,0,0.034,0
0.03599999,1.790315,-4.35,0.0175,0,0.035,0
0.03699999,1.790333,-4.35,0.018,0,0.03599999,0
0.03799999,1.790351,-4.35,0.0185,0,0.03699999,0
