t,x(t),v(t),F(t) (added)
0.02,0.42,0,1
0.04,0.4202,0.01,1
0.06,0.4206,0.02,1
0.08,0.4212,0.03,1
0.09999999,0.422,0.04,1
0.12,0.423,0.05,1
0.14,0.4242,0.05999999,1
0.16,0.4256,0.06999999,1
0.18,0.4272,0.07999999,1
0.2,0.429,0.08999999,1
0.22,0.431,0.09999999,1
0.24,0.4332,0.11,1
0.26,0.4356,0.12,1
0.28,0.4382,0.13,1
0.3,0.441,0.14,1
0.32,0.444,0.15,1
0.34,0.4472,0.16,1
0.36,0.4506,0.17,1
0.38,0.4542,0.18,1
0.4,0.458,0.19,1
0.42,0.462,0.2,1
0.4400001,0.4662,0.21,1
0.4600001,0.4706,0.22,1
0.4800001,0.4752,0.23,1
0.5000001,0.48,0.24,1
0.52,0.485,0.25,1
0.54,0.4902,0.26,1
0.56,0.4956,0.27,1
0.58,0.5012,0.28,1
0.6,0.507,0.29,1
0.6199999,0.513,0.3,1
0.6399999,0.5192,0.31,1
0.6599999,0.5256,0.32,1
0.6799999,0.5322,0.33,1
0.6999999,0.539,0.3399999,1
0.7199998,0.546,0.3499999,1
0.7399998,0.5532,0.3599999,1
0.7599998,0.5606,0.3699999,1
0.7799998,0.5682,0.3799999,1
0.7999998,0.576,0.3899999,1
0.8199998,0.584,0.3999999,1
0.8399997,0.5922,0.4099999,1
0.8599997,0.6006,0.4199999,1
0.8799997,0.6092,0.4299999,1
0.8999997,0.618,0.4399998,1
0.9199997,0.627,0.4499998,1
0.9399996,0.6362,0.4599998,1
0.9599996,0.6456,0.4699998,1
0.9799996,0.6551999,0.4799998,1
0.9999996,0.665,0.4899998,1
1.02,0.675,0.4999998,1
1.04,0.6852,0.5099998,1
1.06,0.6956,0.5199998,1
1.08,0.7061999,0.5299998,1
1.1,0.7169999,0.5399998,1
1.12,0.7279999,0.5499998,1
1.14,0.7391999,0.5599998,1
1.159999,0.7505999,0.5699998,1
1.179999,0.7621999,0.5799997,1
1.199999,0.7739999,0.5899997,1
1.219999,0.7859999,0.5999997,1
1.239999,0.7981999,0.6099997,1
1.259999,0.8105999,0.6199997,1
1.279999,0.8231999,0.6299997,1
1.299999,0.8359998,0.6399997,1
1.319999,0.8489999,0.6499997,1
1.339999,0.8621998,0.6599997,1
1.359999,0.8755999,0.6699997,1
1.379999,0.8891999,0.6799996,1
1.399999,0.9029998,0.6899996,1
1.419999,0.9169998,0.6999996,1
1.439999,0.9311998,0.7099996,1
1.459999,0.9455998,0.7199996,1
1.479999,0.9601998,0.7299996,1
1.499999,0.9749998,0.7399996,1
1.519999,0.9899998,0.7499996,1
1.539999,1.0052,0.7599996,1
1.559999,1.0206,0.7699996,1
1.579999,1.0362,0.7799996,1
1.599999,1.052,0.7899995,1
1.619999,1.068,0.7999995,1
1.639999,1.0842,0.8099995,1
1.659999,1.1006,0.8199995,1
1.679999,1.1172,0.8299995,1
1.699999,1.134,0.8399995,1
1.719999,1.151,0.8499995,1
1.739999,1.1682,0.8599995,1
1.759999,1.1856,0.8699995,1
1.779999,1.2032,0.8799995,1
1.799999,1.221,0.8899994,1
1.819999,1.239,0.8999994,1
1.839999,1.2572,0.9099994,1
1.859999,1.2756,0.9199994,1
1.879999,1.2942,0.9299994,1
1.899999,1.313,0.9399994,1
1.919999,1.332,0.9499994,1
1.939999,1.3512,0.9599994,1
1.959999,1.3706,0.9699994,1
1.979999,1.3902,0.9799994,1
1.999999,1.409999,0.9899994,1
2.019999,1.429999,0.9999993,1
2.039999,1.450199,1.009999,1
2.059999,1.470599,1.019999,1
2.079999,1.491199,1.029999,1
2.099999,1.511999,1.039999,1
2.119999,1.532999,1.049999,1
2.139999,1.554199,1.059999,1
2.159999,1.575599,1.069999,1
2.179999,1.597199,1.079999,1
2.199999,1.618999,1.089999,1
2.219999,1.640999,1.099999,1
2.239999,1.663199,1.109999,1
2.259999,1.685599,1.119999,1
2.279999,1.708199,1.129999,1
2.299999,1.730999,1.139999,1
2.319999,1.753999,1.149999,1
2.339998,1.777199,1.159999,1
2.359998,1.800599,1.169999,1
2.379998,1.824199,1.179999,1
2.399998,1.847999,1.189999,1
2.419998,1.871999,1.199999,1
2.439998,1.896199,1.209999,1
2.459998,1.920599,1.219999,1
2.479998,1.945199,1.229999,1
2.499998,1.969999,1.239999,1
2.519998,1.994999,1.249999,1
2.539998,2.020199,1.259999,1
2.559998,2.045599,1.269999,1
2.579998,2.071199,1.279999,1
2.599998,2.096999,1.289999,1
2.619998,2.122999,1.299999,1
2.639998,2.149199,1.309999,1
2.659998,2.175599,1.319999,1
2.679998,2.202199,1.329999,1
2.699998,2.228999,1.339999,1
2.719998,2.255999,1.349999,1
2.739998,2.283199,1.359999,1
2.759998,2.310599,1.369999,1
2.779998,2.338199,1.379999,1
2.799998,2.365999,1.389999,1
2.819998,2.393999,1.399999,1
2.839998,2.422199,1.409999,1
2.859998,2.450599,1.419999,1
2.879998,2.479199,1.429999,1
2.899998,2.507999,1.439999,1
2.919998,2.536999,1.449999,1
2.939998,2.566199,1.459999,1
2.959998,2.595599,1.469999,1
2.979998,2.625199,1.479999,1
2.999998,2.654999,1.489999,1
3.019998,2.684999,1.499999,1
3.039998,2.715199,1.509999,1
3.059998,2.745599,1.519999,1
3.079998,2.776199,1.529999,1
3.099998,2.806998,1.539999,1
3.119998,2.837998,1.549999,1
3.139998,2.869198,1.559999,1
3.159998,2.900598,1.569999,1
3.179998,2.932198,1.579999,1
3.199998,2.963998,1.589999,1
3.219998,2.995998,1.599999,1
3.239998,3.028198,1.609999,1
3.259998,3.060598,1.619999,1
3.279998,3.093198,1.629999,1
3.299998,3.125998,1.639999,1
3.319998,3.158998,1.649999,1
3.339998,3.192198,1.659999,1
3.359998,3.225598,1.669999,1
3.379997,3.259198,1.679999,1
3.399997,3.292998,1.689999,1
3.419997,3.326998,1.699999,1
